,Year,State,Overall_Homeless,average_debt,population,total_poverty_rate,total_drug_rate
75,2017,North Dakota,0.0014390390549120918,0.7550000000000001,756755,0.0009778594128879228,0.00017178611307490534
76,2017,Nebraska,0.001304644031970821,1.175,1916998,0.0009796567341228317,0.0001763173461839814
77,2017,New Hampshire,0.0010782030442944473,1.66,1350395,0.0009871185838217706,0.0002695507610736118
78,2017,New Jersey,0.0009603801557287475,1.55,8888147,0.0010142721536896273,0.00016775150095964885
79,2017,New Mexico,0.0011859460141319658,1.66,2092844,0.0009723610551001413,0.00022744170134037702
80,2017,Nevada,0.0026355129055343754,1.66,2972097,0.0010023226025260951,0.0002627774261741794
81,2017,New York,0.00456791312416463,0.7550000000000001,19593849,0.001007459024513254,0.00020782032157132577
82,2017,Ohio,0.0008653569702510933,1.175,11665706,0.0009849382454863854,0.00018267218460674392
83,2017,Oklahoma,0.0010674694592894757,1.28,3933602,0.0009703574484658081,0.00017922504615362712
84,2017,Oregon,0.003364362401122274,1.66,4147294,0.0010131907696922379,0.00033805175133472574
85,2017,Pennsylvania,0.0011049905980447029,1.28,12794679,0.0009824396532339733,0.00019046980389269633
86,2017,Rhode Island,0.0011168383253482548,1.55,1056554,0.0009900109223002326,0.0002697448497663158
87,2017,South Carolina,0.0007789776296562114,1.66,5027102,0.000985657342938337,0.00018837891095108077
88,2017,South Dakota,0.0010792783141741404,1.175,873732,0.0009957286673716883,0.00016938832502414928
89,2017,Tennessee,0.0012374254402399017,1.36,6714748,0.0009976547146668794,0.00017171158173024512
90,2017,Texas,0.0008323488043416173,1.175,28291024,0.0009928944247475807,0.0001476086549571341
91,2017,Utah,0.000918950617681744,1.66,3103540,0.0010085257480167808,0.00014596235266824337
92,2017,Virginia,0.0007162073098476676,1.95,8471011,0.0009729653284596136,0.00016491538023029364
93,2017,Vermont,0.0019595861354082017,1.45,625132,0.0009805928987797778,0.000327930741027495
94,2017,Washington,0.002842237381479765,1.66,7427951,0.0009996027168192143,0.0002823120400228811
95,2017,Wisconsin,0.0008677494287647111,1.175,5793147,0.0010027365091892196,0.00020179014963714887
96,2017,West Virginia,0.0007197516004713301,1.28,1818683,0.00098587824266241,0.00018144998331210002
97,2017,Wyoming,0.00150518798470329,1.55,579994,0.0009655272295920303,0.00017241557671286256
98,2016,Alaska,0.0026125307208026125,1.66,742575,0.0009534390465609535,0.00025990640676025993
99,2016,Alabama,0.0008446987193290737,1.45,4866824,0.0009905844139833288,0.00014794042274797692
100,2016,Arkansas,0.0008232460897481963,1.36,2991815,0.0009830153268166647,0.0001691281045118097
101,2016,Arizona,0.0013977430776295303,1.78,6944767,0.0009903859985511392,0.0001876232852736456
102,2016,California,0.0030177383509327627,1.95,39149186,0.0009997653591060616,0.00022513878066328122
103,2016,Colorado,0.0019030117009064468,1.78,5543844,0.000992452168567514,0.00029762742241664806
104,2016,Connecticut,0.0010899958936597548,1.45,3579830,0.000996416030928843,0.0002259883849233064
105,2016,Delaware,0.00112632883117594,1.66,949989,0.0009968536477790795,0.00020526553465355916
106,2016,Florida,0.0016269265728609218,1.78,20627237,0.0009948011941686616,0.00018848864731616747
107,2016,Georgia,0.001252274592028553,1.45,10308442,0.0009962708234668245,0.00015598865473560408
108,2016,Iowa,0.0009779108326604345,1.175,3133210,0.0009890814851222867,0.0001755388244005349
109,2016,Idaho,0.0013342945162692485,1.95,1684036,0.000997009565116185,0.0001727991563125729
110,2016,Illinois,0.0009039356609949578,1.28,12821709,0.0009811484568866755,0.0001935779387911549
111,2016,Indiana,0.0008734692819925826,1.28,6637898,0.000978171101755405,0.00018996977657686213
112,2016,Kansas,0.0007741221437725049,1.175,2912977,0.0009814701592219918,0.0001658097540763281
113,2016,Kentucky,0.0009542135159153446,1.28,4440306,0.0009870941327016652,0.00017025853623601616
114,2016,Louisiana,0.0008531734249081354,1.36,4681346,0.000976855801728819,0.0001696093388525437
115,2016,Massachusetts,0.0028720075930678103,1.36,6827280,0.0009923424848548763,0.000271997047140296
116,2016,Maryland,0.001280003675703103,1.95,6007014,0.0009871793207074262,0.0002025964980271396
117,2016,Maine,0.0016819929928216953,1.78,1332348,0.000988480487079952,0.0002649457949424625
118,2016,Michigan,0.0009358941631889599,1.28,9954117,0.0009920518314180957,0.00021257535952209523
119,2016,Minnesota,0.0013286012133146075,1.36,5525360,0.0009827413960357334,0.00018261253565378545
120,2016,Missouri,0.0010168460894929626,1.36,6091384,0.0009649695373005544,0.00018337376202189848
121,2016,Mississippi,0.00058115525505794,1.45,2990595,0.000984085106809849,0.00014913420239116295
122,2016,Montana,0.001360665632253725,1.78,1042137,0.0009893133052564106,0.000256204318626054
123,2016,North Carolina,0.0009406796156823366,1.66,10161802,0.0009899818949434362,0.00016207755278050095
124,2016,North Dakota,0.0012207153947685137,0.7550000000000001,756114,0.0009905913658522392,0.00016267388250978027
125,2016,Nebraska,0.0014445447454816014,1.175,1906483,0.0009808637160677541,0.0001667992843366555
126,2016,New Hampshire,0.001016600505769915,1.66,1343694,0.000979389652703666,0.00024261476199194162
127,2016,New Jersey,0.0010024134554876586,1.66,8873584,0.0009957645073287186,0.00016859027874193788
128,2016,New Mexico,0.0010814530561920714,1.66,2092555,0.0009763184241274423,0.00022126061202692402
129,2016,Nevada,0.0025339478105396197,1.78,2919555,0.0010073452974854044,0.00021989652532663367
130,2016,New York,0.004397549427488992,0.7550000000000001,19636391,0.0009910171375177852,0.00020339786470945705
131,2016,Ohio,0.0008938098257225478,1.28,11640060,0.0009828128033704294,0.0001866828865143307
132,2016,Oklahoma,0.0010455322018572135,1.28,3928143,0.000995635851342479,0.00017005490889715572
133,2016,Oregon,0.003234088336687212,1.78,4093271,0.001007507199010278,0.00032761085205450604
134,2016,Pennsylvania,0.0011994399954709195,1.36,12788468,0.0009797889786329372,0.00017945855594274465
135,2016,Rhode Island,0.0010965990304552021,1.66,1057816,0.0009945018793438556,0.0002732044136220288
136,2016,South Carolina,0.0010177248540256952,1.78,4963031,0.0009868969184355287,0.00016260224850499623
137,2016,South Dakota,0.001241181762501259,1.28,863693,0.0009899350810994184,0.00017946191528702907
